!! Abja-Paluoja
Jaani
Jaama

Kaare
Kaasiku
Kalmistu
Keskväljak
Kevade
Kirde
Kirsi
Kivi
Koidu
Kooli
Kraavi
Kruusa
Kungla
Kutse
Küti

Lennuki
Lepa
Lille
Linda
Loode
Lääne

Malmi
Marja
Mooni
Mulla
Mureli
Muru
Mäe

Narva maantee
Nelgi
Niidu
Nõmme
Nooruse

Oja
Oru
Oru põik

Pae
Pargi
Pirni
Ploomi
Puru tee
Põllu

Rahu
Rahu põik
Raja
Rakvere
Raudtee tee
Ristiku
Rohu
Roosi

Salme
Side
Sihi
Sompa
Soo
Soo põik
II Soo põik
Sulevi
Sütiste
Säde

A. H. Tammsaare
Tartu maantee
II Tartu põik
III Tartu põik
Tiigi
Tulbi
Toila

Uus tee
Uus Võsa

Vaarika
Vahe
Veski
Vilja
Viru
Välja

Ülesõidu

!! Kallaste
Aasa tänav
Aia tänav

Jaani tänav

Kalda tänav
Kase tänav
Kevade tänav
Kesa tänav
Keskväljak
Kiriku tänav

Liiva tänav

1.Mai tänav
Mäe tänav

Niidu tänav

Oja tänav
Oktoobri tänav

Pihlaka tänav
Põhja tänav
Põllu tänav

Rahu tänav
Roheline tänav

Sadama tänav
Sillaotsa tänav
Staadioni tänav
Sõpruse tänav

Toominga tänav
Turu tänav
Tööstuse tänav

Uus tänav

Võidu tänav

Õnne tänav
!! Kärdla
Aia
Aia põik
Alato tänav
Allika

Eha

Hausma tee
Heltermaa maantee
Hiiu

Kaare
Kabeli
Kajaka
Kalamaja
Kalda
Kanarbiku
Karja
Kase
Keskväljak
Koidu
Kooli
Kopli
Kraavi
Kõrgessaare maantee
Käina maantee
Künka

Ladva
Leigri väljak
Lepiku
Liiva
Linnumäe
Lodju
Loigu
Lubjaahju
Luite

Marja
Mere
Metsa
Metsa põik
Männiku

Nuutri
Nõmme

Oja

Padu
Pae
Paju
Pargi
Pikk
Posti
Posti põik
Põllu

Rahu
Ranna
Rehemäe tee
Rookopli
Rootsi

Sadama
Sambliku
Sanglepa
Seene
Sireli
Sõnajala

Tiigi
Tiigi põik
Tormi
Tüve

Uus

Vabaduse
Vabaduse põik
Vabrikuväljak
Valli
Vesiroosi
Väike-Aia
Väike-Liiva
Väike-Sadama
Väike-Tiigi

Ümarmäe

!! Karksi-Nuia
Aasa tänav
Aia tänav
Arumäe tänav

Eha tänav
Ettevõtluse tänav

Heina tänav

Jüri Kivistiku tänav

Kaare tänav
Kalda tänav
Kase tänav
Kassepa tänav
Kivi tänav
Kiviaia tänav
Koidu tänav
Kooli tänav

Lepiku tänav
Lilli tee
Loigu tänav
Loode tänav
Lossi tänav
Lossimäe tänav
Lõuna tänav

Metsa tänav
Mäe tänav
Männiku tänav

Niidu tänav
Niine tänav
Nurme tänav

Oru tänav

Piiri tänav
Polli tee
Pärnu maantee
Põhja tänav
Põllu tänav

Rahumäe tänav

Soo tänav

Tartu maantee
Tehase tänav
Tiigi tänav
Tööstuse tänav

Umb tänav
Uus tänav

Veetorni tänav
Viljandi maantee
Väike tänav
Väike-Aia tänav
Võidu tänav

!! Kehra
Aasa tänav
Aia tänav
Aiandi tänav
Anija maantee

Carl Robert Jakobsoni tänav
Friedrich Reinhold Kreutzwaldi tänav
Jaama tänav
Janis Rainise tänav
Jõe tänav

Kalda tänav
Kase tänav
Kauba tänav
Keskuse tänav
Keskuse põik
Kooli tänav
Kooli põik
Kose maantee

Laane tänav
Laste tänav
Laste põik
Luha tänav
Lõhmuse tänav
Lydia Koidula tänav

Metsa tänav
Mulla tänav
Mõisa tänav

Niidu tänav
Nurme tänav

Paberi tänav
Pargi tee
Puidu tänav
Pärna tänav
Põhja tänav
Põllu tänav
Põrguvälja tänav

Raja põik
Raja tänav
Roopa tänav

Salo tänav
Silla tänav
Spordi tänav
Sõpuse väljak

Tallinna maantee
Tamme tänav
Tehase tänav
Tisleri tänav
Torni tänav
Tselluloosi tänav
Tuleviku tänav
Turu tänav

Välja tänav

!! Keila
Luha tänav
Haapsalu maantee
Tallinna maantee
Kalda tänav
Tiiru tänav
Tuula tee
Roheline tänav
Keskväljak
Ülejõe tee
Heina tänav
Niidu tänav
Põhja tänav
Pae tänav
Posti tänav
Allika tänav
Piiri tänav
Vasara tänav
Paldiski maantee
Geoloogide tänav
Kullerkupu tänav
Piibelehe tänav
Kanarbiku tänav
Ülase tänav
Kannikese tänav
Nurmenuku tänav
Ehitajate tee
Pargi tänav
Jaama tänav
Vaikne tänav
Uus tänav
Raudtee tänav
Haapsalu tänav
Kooli tänav
Niine tänav
Metsa tänav
Oksa tänav
Männiku tänav
Lõuna tänav
Kuuse tänav
Tamme tänav
Tamme põik
Kruusa tänav
Kruusa põik
Tammiku tänav
Ülesõidu tänav
Aiandi tänav
Jõe tänav
Tähe tänav
Kaare tänav
Teaduse tänav
Teaduse põik
Koidu tänav
Aia tänav
Ohtu tee
Eha tänav
Sireli tänav
Kadaka tänav
Lepa tänav
Toominga tänav
Vahtra tänav
Kastani tänav
Pärna tänav
Pärna põik
Kase tänav
Linnamäe tee
Raba tänav
Pihlaka tänav
Saare tänav
Hommiku tänav
Linnuse tänav
Aukamäe tänav
Ringtee tänav
Tööstuse tänav
Barsbütteli tänav
Tervise tänav
Tervise põik
Põllu tänav
Sopsu-Tooma tänav
Mäe tänav
Liiva tänav
Vasara põik
Kirsi tänav
Kevade tänav
Suve tänav
Sügise tänav

!! Kilingi-Nõmme
Aia tänav
Aru tänav

Eha tänav

Hommiku tänav

Jaama tänav
Jõe tänav
Järve tänav
Järve põik

Kantsi tänav
Karja tänav
Kase tänav
Kirde tänav
Kiriku tänav
Kitsas tänav
Kivi tänav
Koidu tänav
Kooli tänav
Kõrge tänav
Künka tänav

Laada tänav
Levalohu tänav
Luha tänav

Mäe tänav
Mängu tänav
Muru tänav

Nõmme tänav

Oja tänav

Pargi tänav
Piiri tänav
Põllu tänav
Pärnu tänav

Raba tänav
Raekoja tänav
Raja tänav
Ringpuiestee

Saarde tänav
Sambla tänav
Savi tänav
Soo tänav

Tiigi tänav
Turu tänav
Turuplats

Urve tänav
Uus tänav

Vana tänav
Vainu tänav
Veski tänav
Villa tänav

Õ
Õhtu tänav

!! Kiviõli
Aasa tänav
Aia tänav
Alutaguse tänav

Ehitajate tänav
Elektri tänav

Graniidi tänav

Heina tänav
Hospidali tänav

Irvala tee

Jaama tänav
Jõe tänav

Kaare tänav
Kaevurite tänav
Kalda tänav
Kalevi tänav
Kalju tänav
Kallaku tänav
Karja tänav
Kastani tänav
Kauba tänav
Kesa tänav
Kivi tänav
Keskpuiestee
Koidu tänav
Kooli tänav
Kraavi tänav
Kruusa tänav
Kuuse tänav
Kuusiku tänav
Künka tänav
Küttejõu tänav

Laste tänav
Lehe tänav
Lepa tee
Liiva põik
Liiva tänav
Lõuna tänav

Maidla tee
Metsa tänav
Muru tänav
Mäe tänav
Mäealuse põik
Mäealuse tee
Mäepealse tee
Männiku tänav

Niidu tänav
Niine tänav
Nurme tänav
Nõmme tänav

Oja tänav
Oru tänav

Pae tänav
Pae põik
Paju tänav
Papli tänav
Pargi tänav
Piiri tänav
Pikk tänav
Posti tänav
Põiktänav
Põllu tänav
Põõsa tänav

Rahvamaja tänav
Raja tänav
Raudtee tänav
Ristiku tänav
Rohu tänav

Sambla tänav
Savi tänav
Sireli tänav
Sonda tee
Soo tänav
Spordi tänav
Sõnajala tänav
Säde tänav

Turu tänav

Uus tänav

Vabaduse puiestee
Vahe tänav
Vahtra tänav
Viru tänav
Võidu tänav
Võsa tänav

Õle tänav

!! Kohtla-Järve

Ahtme maantee
Altserva tänav
Altserva põik
Aru tänav

Estonia puiestee

Hobuseraua tänav

Ilmajaama tänav

Jaaniku tänav

Kaare tänav
Kadri tänav
Kaja tänav
Kalda tänav
Kandle tänav
Kastani tänav
