!! Abja-Paluoja
Suur-Lootsi tänav
Suvilate tee

Tuletorni tänav

Uus tänav

Vabaduse tänav
Vabriku tänav
Vaikne tänav
Vambola tänav
Vambola põik
Vana tänav
Viljatera tee

Õnne tänav
Õnne põik

!! Otepää
Aia tänav

Hariduse tänav
Hundisoo tänav

Jaani tänav
Jakob Hurda tänav

Kaasiku tänav
Kadaka tänav
Kalda tänav
Kase tänav
Kastani tänav
Kesk tänav
Keskuse tänav
Kevade tänav
Kirsi tänav
Kolga tee
Koolitare tänav
Kopli tänav

Lille tänav
Linnamäe tee
Lipuväljak

